Name,Services,Cost,Desc,img
Residential Photovoltaic System with Storage: Kostal Plenticore Plus 3 Inverter + Trina Solar TSM375DEO8M.08 Photovoltaic Panels + LG Chem RESU 6.5 kWh Battery Storage System,"[{'service': 'E-2', 'condition': None, 'level': 3}, {'service': 'E-3', 'condition': None, 'level': 1}, {'service': 'E-4', 'condition': None, 'level': 3}, {'service': 'E-8', 'condition': None, 'level': 2}, {'service': 'E-11', 'condition': None, 'level': 1}]",8951.0,"The Kostal Plenticore Plus 3 Inverter is a high-performance hybrid inverter designed for residential and commercial photovoltaic (PV) systems. It offers versatile energy management by supporting both solar power conversion and energy storage integration. With its multi-functional capabilities, the Plenticore Plus can optimize energy usage by combining solar production, battery storage, and grid interaction.
The Trina Solar TSM375DEO8M.08 photovoltaic panels are high-quality solar panels designed to efficiently convert sunlight into electricity for residential, commercial, and utility-scale solar projects. With a power output of 375 watts per panel, they feature high efficiency and durability, making them suitable for various installations. The LG Chem RESU 6.5 is a residential energy storage system that provides efficient, on-site storage of electricity, typically from solar panels. It features real-time monitoring of state-of-charge and supports optimization of self-consumption by storing excess energy for later use. It integrates with home energy management systems to enhance energy usage and can contribute to grid stability when combined with smart grid solutions.",Kostal_Plenticore_Plus_3_Inverter.jpeg
Residential Photovoltaic System with Storage: Kostal Plenticore Plus 3 Inverter + Trina Solar TSM375DEO8M.08 Photovoltaic Panels + LG Energy Solution Enblock FLEX 8.6 kWh Battery Storage System,"[{'service': 'E-2', 'condition': None, 'level': 3}, {'service': 'E-3', 'condition': None, 'level': 3}, {'service': 'E-4', 'condition': None, 'level': 2}, {'service': 'E-8', 'condition': None, 'level': 1}, {'service': 'E-11', 'condition': None, 'level': 4}, {'service': 'MC-25', 'condition': None, 'level': 1}, {'service': 'MC-28', 'condition': None, 'level': 2}, {'service': 'MC-29', 'condition': None, 'level': 1}]",11134.0,"The Kostal Plenticore Plus 3 Inverter is a high-performance hybrid inverter designed for residential and commercial photovoltaic (PV) systems. It offers versatile energy management by supporting both solar power conversion and energy storage integration. With its multi-functional capabilities, the Plenticore Plus can optimize energy usage by combining solar production, battery storage, and grid interaction.
The Trina Solar TSM375DEO8M.08 photovoltaic panels are high-quality solar panels designed to efficiently convert sunlight into electricity for residential, commercial, and utility-scale solar projects. With a power output of 375 watts per panel, they feature high efficiency and durability, making them suitable for various installations. The LG Energy Solution Enblock FLEX 8.6 kWh is a versatile and high-capacity energy storage system designed for residential and commercial applications. It offers 8.6 kWh of usable energy storage, providing reliable backup power and enabling optimal use of solar energy by storing excess production for use during peak times or outages.",Kostal_Plenticore_Plus_3_Inverter.jpeg
Residential Photovoltaic System: Fronius Symo 3.0-3 Inverter + Trina Solar TSM375DEO8M.08 Photovoltaic Panels ,"[{'service': 'E-2', 'condition': None, 'level': 1}, {'service': 'E-3', 'condition': None, 'level': 1}, {'service': 'MC-28', 'condition': None, 'level': 1}]",4116.0,"The Fronius Symo 3.0 is a 3-phase solar inverter designed for residential and small commercial solar PV systems. It offers reliable, high-efficiency power conversion and seamless integration with monitoring tools for real-time performance tracking. The inverter supports three-phase power applications, provides robust system management, and is known for its durability and ease of installation. The Trina Solar TSM375DEO8M.08 photovoltaic panels are high-quality solar panels designed to efficiently convert sunlight into electricity for residential, commercial, and utility-scale solar projects. With a power output of 375 watts per panel, they feature high efficiency and durability, making them suitable for various installations. ",Kostal_Plenticore_Plus_3_Inverter.jpeg
Residential Photovoltaic System: Kostal Plenticore Plus 3 Inverter + Trina Solar TSM375DEO8M.08 Photovoltaic Panels,"[{'service': 'E-2', 'condition': None, 'level': 3}, {'service': 'E-4', 'condition': None, 'level': 2}, {'service': 'MC-25', 'condition': None, 'level': 1}, {'service': 'MC-28', 'condition': None, 'level': 2}, {'service': 'MC-29', 'condition': None, 'level': 1}]",4884.0,"The Kostal Plenticore Plus 3 Inverter is a high-performance hybrid inverter designed for residential and commercial photovoltaic (PV) systems. It offers versatile energy management by supporting both solar power conversion and energy storage integration. With its multi-functional capabilities, the Plenticore Plus can optimize energy usage by combining solar production, battery storage, and grid interaction.
The Trina Solar TSM375DEO8M.08 photovoltaic panels are high-quality solar panels designed to efficiently convert sunlight into electricity for residential, commercial, and utility-scale solar projects. With a power output of 375 watts per panel, they feature high efficiency and durability, making them suitable for various installations.",Kostal_Plenticore_Plus_3_Inverter.jpeg
Schneider Electric Clipsal C-Bus,"[{'service': 'L-1a', 'condition': None, 'level': 3}, {'service': 'L-2', 'condition': None, 'level': 4}, {'service': 'MC-9', 'condition': None, 'level': 1}, {'service': 'MC-30', 'condition': None, 'level': 2}]",5450.0,"Schneider Electric Clipsal C-Bus is a home and building automation system designed to provide comprehensive control over lighting, climate, security, and other electrical devices. Utilizing a dedicated communication protocol, C-Bus enables seamless integration and customization, allowing users to automate and remotely manage various functions for enhanced convenience, energy efficiency, and security.",Schneider_Electric_Clipsal_C-Bus.jpg
Sense Energy Monitor ,"[{'service': 'E-2', 'condition': None, 'level': 2}, {'service': 'E-12', 'condition': None, 'level': 1}]",475.0,"The Sense Energy Monitor is a smart home device that tracks and analyzes your electricity usage in real-time. Installed in your electrical panel, it provides insights into your energy consumption, identifies individual appliances, and offers historical usage data through its app. This helps you understand and manage your energy use more effectively.",Sense_Energy_Monitor.jpg
"Siemens G120P-3/35B Variable Speed Drive, G120P-IP55-PAN-EXT, G120P-AIRSHEET-FSA, G120P-IOP-2-BT Intelligent operator panel","[{'service': 'H-1d', 'condition': None, 'level': 3}, {'service': 'C-1d', 'condition': None, 'level': 3}, {'service': 'C-2a', 'condition': None, 'level': 2}]",3044.0,"The Variable Frequency Drive (VFD) facilitates demand-controlled speed control for supply and discharge fans in air conditioning systems, optimizing energy efficiency by adjusting fan speeds based on actual demand. Additionally, it supports demand-controlled speed control for circulating pumps in HVAC systems. The VFD is also applicable for pressure boost and control of pump fill levels, providing versatility for various applications in heating, ventilation, and air conditioning systems where variable speed control is essential for efficient and adaptive operation.",Siemens_G120P-335B.webp
"Siemens N543D51 Solar protection actuator, 8xAC230V, 6A, with end position detection","[{'service': 'DE-1', 'condition': None, 'level': 3}, {'service': 'DE-2', 'condition': None, 'level': 3}]",1060.0,"Solar protection actuators control shutters, awnings, and ventilation flaps with up to AC 230 V. Featuring end position detection through current sensing, LED displays for direction and active overrides, and maintenance-free terminals, they ensure efficient installation. Configurable through ETS, these actuators offer extensive control, override functions, and status messages. Safety functions include overrides for wind, rain, frost, and obstructions.",Siemens_N543D51.png
Siemens RDF600KN Flush mount KNX room thermostat,"[{'service': 'H-1a', 'condition': None, 'level': 3}, {'service': 'C-1a', 'condition': None, 'level': 3}]",1875.0,"The Siemens RDF600KN series semi-flush-mount room thermostats offer advanced climate control with KNX bus communications in both S-mode and LTE mode. Featuring a backlit display, 2P/PI/P control, and versatile outputs for on/off or 3- position control and 3-speed or 1-speed fan, they provide seamless integration into Synco, Desigo, and other third-party systems. User settings are retained even during power loss, and RDF600KN/S models include additional control buttons for KNX actuators in S-mode.",Siemens_RDF600KN.jpg
Siemens RDS110 Smart Room Thermostat,"[{'service': 'H-1a', 'condition': None, 'level': 4}, {'service': 'C-1a', 'condition': None, 'level': 4}]",4265.0,"The thermostat allows direct temperature and mode selection, features energy-optimized operation with a green leaf button and provides air quality indication. It includes temperature setting limits for public spaces, screen lock protection, and manual switchover. With precise control using a self-learning algorithm, it offers humidity control, presence detection, and multifunctional inputs. The device also supports remote firmware upgrades.",Siemens_RDS110_Smart_Room_Thermostat.webp
Siemens RLM162 Air duct temperature controller ,"[{'service': 'V-1a', 'condition': None, 'level': 2}, {'service': 'V-1c', 'condition': None, 'level': 3}, {'service': 'V-2d', 'condition': None, 'level': 4}]",5355.0,"The RLM162 is a compact electronic temperature controller with an integrated duct-mounted sensor, designed for easy installation onto HVAC plants. It offers modulating temperature control with 1 or 2 DC 0-10 V output signals. Suitable for various applications, including restaurants, classrooms, and air handling units, it controls heating/cooling valves, air dampers, and more. Additional features include an auxiliary digital output, outside sensor compensation, remote se}ng unit connection, selectable P or PI control, and various operating modes for versatile HVAC control.",Siemens_RLM162.jpg
Siemens RMU710B-1 Universal controller ,"[{'service': 'H-1c', 'condition': None, 'level': 2}, {'service': 'H-2d', 'condition': None, 'level': 4}, {'service': 'C-1c', 'condition': None, 'level': 2}, {'service': 'C-2a', 'condition': None, 'level': 2}, {'service': 'C-2b', 'condition': None, 'level': 4}, {'service': 'DHW-2b', 'condition': None, 'level': 4}, {'service': 'V-1a', 'condition': None, 'level': 4}, {'service': 'V-1c', 'condition': None, 'level': 3}, {'service': 'V-2c', 'condition': None, 'level': 2}, {'service': 'V-2d', 'condition': None, 'level': 3}]",8721.0,"Siemens universal controllers with a yearly time switch are versatile for basic to complex ventilation, air conditioning, and cold-water plants. They offer preprogrammed options, modular expansion, KNX bus connectivity, and control variables like temperature, humidity, pressure, airflow, and indoor air quality. Featuring a 7-day program, automatic seasonal changeover, and various operating modes, these controllers enable efficient and adaptable control for diverse applications.",Siemens_RMU710B-1_Universal_controller.jpg
Siemens RVD250-A district heating controller,"[{'service': 'H-1c', 'condition': None, 'level': 2}, {'service': 'DHW-1a', 'condition': None, 'level': 3}, {'service': 'DHW-1b', 'condition': None, 'level': 3}, {'service': 'DHW-1d', 'condition': None, 'level': 3}, {'service': 'MC-4', 'condition': None, 'level': 3}]",3677.0,"The Siemens RVD250-A is an advanced heating controller designed for management of heating systems in residential, commercial, and industrial settings. It supports control of one heating circuit with DHW (Domestic Hot Water) system, featuring weather compensation for optimizing heating efficiency based on outdoor conditions. ",Siemens_RVD250-A_district_heating_controller.jpg
Siemens RVL482 Heating controller for boiler temperature control for modulating or 2-stage burners with d.h.w. heating,"[{'service': 'H-1a', 'condition': None, 'level': 2}, {'service': 'H-2a', 'condition': None, 'level': 2}, {'service': 'H-2b', 'condition': None, 'level': 2}, {'service': 'DHW-1a', 'condition': None, 'level': 3}, {'service': 'DHW-1b', 'condition': None, 'level': 3}, {'service': 'DHW-1d', 'condition': None, 'level': 3}]",5613.0,"The multifunctional heating controller by Siemens is designed for residential and non-residential buildings, supporting various heating systems and control scenarios. Operating at AC 230 V, it offers weather-compensated flow temperature control, demand-compensated boiler temperature control, and versatile heating modes. With optimization and protective functions, remote control, and communication features, it provides efficient and flexible heating management.",Siemens_RVL482_Heating_controller_for_boiler_temperature_control_for_modulating_or_2-stage_burners_with_d.h.w_heating.jpg
"Siemens UH50-A74-00 Ultrasonic heat meter, RS-485(MS/TP) BACnet module, WZU5- 2815 pair of temperature sensors","[{'service': 'H-3', 'condition': None, 'level': 4}, {'service': 'C-3', 'condition': None, 'level': 4}, {'service': 'DHW-3', 'condition': None, 'level': 4}]",5436.0,"The UH50 series by Siemens serves as a heat and cooling energy meter, measuring energy consumption in district heating systems and blocks of flats. Comprising a flow measuring section and processor unit, it allows separate reading of heat or cooling energy consumption on-site or remotely. The processor unit accommodates various sensors, power supply, and communication modules, making it versatile for different applications, including hydronic systems.",Siemens_UH50.jpg
"Siemens UP258D51 Presence Detector WIDE multi with temperature, humidity, and CO2 measurement, IR remote control ","[{'service': 'H-1a', 'condition': None, 'level': 3}, {'service': 'C-1a', 'condition': None, 'level': 3}, {'service': 'L-1a', 'condition': None, 'level': 4}, {'service': 'L-2', 'condition': None, 'level': 4}, {'service': 'V-6', 'condition': None, 'level': 1}]",4845.0,"The ceiling-mounted passive infrared detector offers a 360° horizontal motion detection area, covering up to 64 m² to 400 m² based on mounting or room height. It features a 7-level presence detection range adjustment, brightness and temperature measurement, and an integrated IR receiver for remote control. Additionally, it includes an integrated bus coupler, enabling bus connection via a bus terminal and electronic operation with bus voltage.",Siemens_UP258D51_Presence_Detector.jpg
"Siemens WFW636.D110 Electronic impeller type hot water meter, M-bus radio communication, S-mode, WTT662-BA1100 Network node","[{'service': 'DHW-3', 'condition': None, 'level': 2}]",241.0,"The meters feature a flow element and an LCD display totalizer, with a 360° rotatable fi}ng. Made of brass, the flow measuring section includes a sieve for larger dirt particles, ensuring accurate and long-term stable measurements. The system detects incorrect flow direction and transmits volume data via RF to a processing system, powered by a long-life battery lasting up to 10 years with a 1-year reserve capacity.",Siemens_WFW636.D110.jpg
Somfy Animeo IB+ 4 AC Motor Controller (with sun sensors),"[{'service': 'DE-1', 'condition': None, 'level': 2}, {'service': 'DE-4', 'condition': None, 'level': 3}]",3551.0,"The Somfy Animeo IB+ 4 AC Motor Controller is a versatile and advanced control unit designed for managing up to four independent AC motorized window coverings, such as blinds, shades, and curtains. It integrates into building automation systems, providing control over the positioning and operation of window treatments to enhance comfort, energy efficiency, and occupant convenience.",Somfy_Animeo_IB+_4_AC_Motor_Controller.jpg
"Somfy Animeo IB+ 4 AC Motor Controller (with sun, window, temperature, and occupancy sensors)","[{'service': 'DE-1', 'condition': None, 'level': 4}, {'service': 'DE-2', 'condition': None, 'level': 3}, {'service': 'DE-4', 'condition': None, 'level': 4}]",4842.0,"The Somfy Animeo IB+ 4 AC Motor Controller is a versatile and advanced control unit designed for managing up to four independent AC motorized window coverings, such as blinds, shades, and curtains. It integrates into building automation systems, providing control over the positioning and operation of window treatments to enhance comfort, energy efficiency, and occupant convenience.",Somfy_Animeo_IB+_4_AC_Motor_Controller.jpg
Somfy Animeo IB+ 4 AC Motor Controller (with window & temperature sensors),"[{'service': 'DE-1', 'condition': None, 'level': 1}, {'service': 'DE-2', 'condition': None, 'level': 2}, {'service': 'DE-4', 'condition': None, 'level': 3}]",4239.0,"The Somfy Animeo IB+ 4 AC Motor Controller is a versatile and advanced control unit designed for managing up to four independent AC motorized window coverings, such as blinds, shades, and curtains. It integrates into building automation systems, providing control over the positioning and operation of window treatments to enhance comfort, energy efficiency, and occupant convenience.",Somfy_Animeo_IB+_4_AC_Motor_Controller.jpg
Somfy Animeo IB+ 4 AC Motor Controller (with window sensors),"[{'service': 'DE-1', 'condition': None, 'level': 1}, {'service': 'DE-2', 'condition': None, 'level': 1}, {'service': 'DE-4', 'condition': None, 'level': 2}]",3474.0,"The Somfy Animeo IB+ 4 AC Motor Controller is a versatile and advanced control unit designed for managing up to four independent AC motorized window coverings, such as blinds, shades, and curtains. It integrates into building automation systems, providing control over the positioning and operation of window treatments to enhance comfort, energy efficiency, and occupant convenience.",Somfy_Animeo_IB+_4_AC_Motor_Controller.jpg
Somfy Animeo IB+ 4 AC Motor Controller (without sensors),"[{'service': 'DE-1', 'condition': None, 'level': 1}, {'service': 'DE-4', 'condition': None, 'level': 1}]",2706.0,"The Somfy Animeo IB+ 4 AC Motor Controller is a versatile and advanced control unit designed for managing up to four independent AC motorized window coverings, such as blinds, shades, and curtains. It integrates into building automation systems, providing control over the positioning and operation of window treatments to enhance comfort, energy efficiency, and occupant convenience.",Somfy_Animeo_IB+_4_AC_Motor_Controller.jpg
Steffes Comfort Plus Forced Air Furnace Model 4120,"[{'service': 'H-1a', 'condition': None, 'level': 1}, {'service': 'H-1f', 'condition': None, 'level': 2}, {'service': 'H-2b', 'condition': None, 'level': 1}, {'service': 'E-5', 'condition': None, 'level': 1}, {'service': 'MC-13', 'condition': None, 'level': 2}, {'service': 'MC-30', 'condition': None, 'level': 1}]",7949.0,"The Steffes Comfort Plus Forced Air system represents a cutting-edge solution in home heating technology, designed to integrate with heat pump systems for optimal efficiency. Using Electric Thermal Storage (ETS) technology, it stores heat during off-peak hours in specialized ceramic bricks, ensuring consistent comfort levels while significantly reducing energy costs—up to 70% compared to traditional heating methods. The system operates automatically, adjusting heat delivery based on real-time temperature demands and supporting central or remote control for enhanced user convenience. Ideal for residential applications, it offers multi-stage heat control, integrates with smart grids for flexible energy management, and provides detailed performance reporting, making it a smart choice for modern, energy-efficient homes.",Steffes_Comfort_Plus_Forced_Air_Furnace_Model_4120.png
Sunamp Thermino 150 e Heat Battery,"[{'service': 'H-1f', 'condition': None, 'level': 3}, {'service': 'DHW-1a', 'condition': None, 'level': 2}, {'service': 'C-1g', 'condition': None, 'level': 2}, {'service': 'E-3', 'condition': None, 'level': 2}, {'service': 'E-8', 'condition': None, 'level': 3}, {'service': 'E-11', 'condition': None, 'level': 2}, {'service': 'MC-3', 'condition': None, 'level': 2}, {'service': 'MC-25', 'condition': None, 'level': 1}]",4284.0,"The Sunamp Thermino E is a compact and efficient thermal energy storage system designed for buildings. It stores heat energy using advanced materials, enabling flexible control through grid signals. This allows for optimized energy use, reducing reliance on conventional heating systems and enhancing overall energy efficiency in residential and commercial settings.",Sunamp_Thermino_150_e_Heat_Battery.jpg
Viessmann Vitocell 300-V,"[{'service': 'H-1f', 'condition': None, 'level': 1}, {'service': 'DHW-1a', 'condition': None, 'level': 1}, {'service': 'DHW-1b', 'condition': None, 'level': 1}, {'service': 'DHW-1d', 'condition': None, 'level': 1}]",3614.0,"The Viessmann Vitocell 300-V is a high-performance domestic hot water storage tank designed to provide reliable and efficient hot water supply. Made from high-quality stainless steel, it offers excellent durability and heat retention. This tank integrates seamlessly with various heating systems, including solar thermal setups, and is optimized for continuous operation and storage. Its design supports basic control functions and manual adjustments for integrating renewable energy sources, making it a versatile choice for residential hot water needs.",Viessmann_Vitocall_300-V.jpg
Wallbox Quasar bidirectional EV charger,"[{'service': 'EV-15', 'condition': 'the examined asset is a single-family house', 'level': 4}, {'service': 'EV-15', 'condition': 'the examined asset is a small multi-family house or non-residential', 'level': 3}, {'service': 'EV-15', 'condition': 'the examined asset is a large multi-family house or non-residential', 'level': 2}, {'service': 'EV-16', 'condition': None, 'level': 2}, {'service': 'EV-17', 'condition': None, 'level': 2}, {'service': 'MC-29', 'condition': None, 'level': 3}]",9368.0,"The Wallbox Quasar is a bidirectional DC charger designed for electric vehicles, enabling both vehicle charging and vehicle-to-grid (V2G) capabilities. It supports up to 7.4 kW of power, allowing users to charge their EVs or use the vehicle's battery as an energy source for their home or the grid.",Wallbox_Quasar_bidirectional_EV_charger.jpg
Zehnder ComfoAir Flex 250,"[{'service': 'V-1a', 'condition': None, 'level': 3}, {'service': 'V-1c', 'condition': None, 'level': 3}, {'service': 'V-2c', 'condition': None, 'level': 2}, {'service': 'V-2d', 'condition': None, 'level': 1}, {'service': 'V-3', 'condition': None, 'level': 3}, {'service': 'V-6', 'condition': None, 'level': 1}]",5879.0,"The Zehnder ComfoAir Flex 250 is a high-efficiency energy recovery ventilator designed for residential applications. It provides balanced ventilation by supplying fresh, filtered air while exhausting stale indoor air. Featuring advanced heat and moisture recovery technology, it maintains indoor comfort by retaining up to 90% of the thermal energy from the outgoing air. The unit operates quietly and efficiently, with smart controls for effortless operation and integration with home automation systems. ",Zehnder_ComfoAir_Flex_250.png
